name,price,status,shipping,free_returns,items_sold
"New ListingKids Preferred Teddy Bear Plush Purple Stuffed Animal Toy Satin Ribbon Bow 17""",1599,Pre-Owned,0,False,
New ListingPottery Barn Kids Blue Patchwork Teddy Bear Plush Corduroy Stripe Denim 16”,2999,Pre-Owned,0,False,
"New ListingFirst & Main Plush Tan Minky Teddy Bear 7"" Corduroy Paws Suede Tie ",895,Pre-Owned,0,False,
"New ListingTy Beanie Baby 1999 Holiday Teddy Blue Snowflake Scarf 9"" Plush Stuffed Animal",746,Pre-Owned,0,True,
"Build a Bear BABW 10"" Tan Beige Teddy Bear Plush Stuffed Animal Toy • VGUC‼",595,Pre-Owned,0,False,
Irish Seamus Teddy Bear with Handmade Hat and Scarf Plush Gaelic Aran Ireland,1799,Pre-Owned,0,True,
RBI Lil Tumblers 8” Teddy Bear Brown Plush Stuffed Animal Toy,535,Pre-Owned,0,True,
New ListingTeddy Bear Plush 9 Inch Lee Middleton Dolls Inc 100th Anniversary Stuffed Animal,4895,Pre-Owned,0,True,
vintage bestever teddy bear plush stuffed animal,825,Pre-Owned,0,False,
"New ListingHugfun Teddy Bear Plush 12"" Mauve ? Bear  Stuffed Animal Cuddly Soft Glitter Eye",1399,Pre-Owned,0,False,
"New ListingSTORY TIME BEAR Twas The Night Before Christmas Stuffed Animal NEW 10"" PLUSH TOY",2399,Brand New,0,False,
"New Vintage 1989 Avon World Of Wonderful Bears Teddy Bear 12"" Tall Sealed",900,Brand New,0,False,
"New ListingHard Rock Cafe Denver Toy Stuffed Animal Plush Teddy Bear Tan 7""",850,Pre-Owned,0,False,
New ListingFiesta Jesus Loves Me Teddy Bear Plush Red Scarf Adorable Tan Stuffed Animal,580,Pre-Owned,0,False,
"New ListingWondertreats Teddy Bear in Red & Green sweater Gift Sack plush stuffed toy 9""",1000,Pre-Owned,0,False,
New ListingCHARLIE BEARS “WILLIAM III” PLUMBO CLASSIC TEDDY BEAR  2011,6500,Pre-Owned,0,False,
New ListingTeddy Bear Brown Plush Praying in Pajamas: Now I lay Me Down,795,Pre-Owned,0,True,
"New ListingBath & Body Works Plush Bear 14"" Faux Fur Puffer Jacket Easter Rabbit Bunny Ears",1025,Pre-Owned,0,False,
Forever Collectibles DENVER Broncos NFL 9” Teddy Bear Plush Orange sweater,1139,Pre-Owned,0,False,
New ListingHallmark 2017 Boo The Bear Plush Purple Vampire Costume Teddy Bear Toy Doll NWT ,689,Brand New,0,False,
M&M Mars October Birthstone Purple Teddy Bear Stuffed Animal Bean Plush ,900,Pre-Owned,0,False,
New ListingVtg 1979 Dakin Plush Teddy Bear Arms Up Cuddles Multi Color Brown Stuffed 12”,2469,Pre-Owned,0,True,
New ListingVtg 1993 Ty Gem Cream Fully Jointed Teddy Bear Velvet Cloak Plush Stuffed Toy ,1100,Pre-Owned,0,True,
Brand New Rare Hard To Find Kumax Moco Teddy Bear Plush UFO Japan(Brown & Tan),2500,Brand New,0,False,
Vintage Build A Bear 1997 Plush Solid All Black Teddy 14 IN Soft Stuffed Animal,1499,Pre-Owned,0,False,
New ListingTeddy Bear,900,Brand New,0,False,
"KellyToy Purple & White Sitting  TEDDY BEAR with Glitter Eyes 11"" Tall",550,Pre-Owned,0,False,
New ListingKellytoy Teddy Bear Gingham Bow Plush Stuffed Animal Brown 14”,1101,Pre-Owned,0,False,
New ListingLot of 2 Teddy Bear Christmas Plush Toy White with Hat Angeltoy Stuffed animal ,998,Pre-Owned,0,False,
"New Listing2017 Kellytoy Teddy Bear 10"" Plush Bow Tie Green Stuffed Animal Toy",1137,Pre-Owned,0,True,
New ListingVintage Bearland Teddy Bear Holding Cup & Teapot Plush Stuffed Animal With Hat,2899,Pre-Owned,0,False,
"New ListingBuild A Bear Fuzzy Red Valentine Teddy 16"" Plush Hugs & Kisses BABW EUC",799,Pre-Owned,0,False,
New ListingCocalo Baby Maeberry Pink Teddy Bear Plush Tan Yellow Dress Bow Stuffed Animal ,1995,Pre-Owned,0,False,
Dr Seuss Grinch Stole Christmas Plush Beverly Hills Teddy Bear Animated 2000,1999,Pre-Owned,0,False,
"New ListingChristmas Teddy Bear Stuffed Plush Brown Bumble Bee 14""  Wings Cherish 2008 ",2209,Pre-Owned,0,False,
"New ListingKiss A' Me Productions Children's Book The Lyon Bear 12"" Plush Toy Jointed EUC",3900,Pre-Owned,0,False,
"New ListingDan Dee Christmas Bear Pair Collector Choice 2017 Snowflake Teddy 18""",4250,Pre-Owned,0,True,
Build A Bear 2016 Plush Brown Teddy Peppermint Paws Red White Stripes Candy Cane,1600,Pre-Owned,0,False,
New ListingBear Surprise Plush Teddy Bear Willow with 2 Baby Cubs White and Purple,1999,Pre-Owned,0,False,
St Judes White Polar Teddy Bear Plush Red Plaid Scarf Hat Boots NEW Quincy,1700,Brand New,0,False,
"Stuffed Animal Teddy Bear Cute Bowtie - 10"" Tall",450,Pre-Owned,0,False,
Forever Collectibles 8” Superbowl XLII Teddy Bear Plush Stuffed Animal Toy,535,Pre-Owned,0,True,
Shop on eBay,2000,Brand New,0,False,
Build A Bear Workshop BABW Brown Teddy Bear,1800,Pre-Owned,0,False,
12”Wondershop at Target White Teddy Bear Polar Plush Stuffed Animal Toy,3499,Pre-Owned,0,True,
Spark Create Imagine 12” Teddy Bear Cream Plush Stuffed Animal Toy,1205,Pre-Owned,0,True,
"My TempurPedic Teddy Bear Plush Brown Promo 19"" Memory Foam Soft  ",2999,Pre-Owned,0,False,
"2022 Queen Elizabeth II Bear Plush Doll 12""Platinum Souvenir Teddy Bear Gifts ",2599,Brand New,0,False,
Build-A-Bear Classic Brown Teddy Bear 10” Sitting Stuffed Plush Animal Toy BAB,899,Pre-Owned,0,True,
Build a Bear Buddies 7 Inch Tye Dye Plush Stuffed Animal Toy Teddy,800,Pre-Owned,0,False,
"New ListingVintage 1999 Cherished Teddies Teddy Bear Tan Brown with Blue Bow 8.5"" Stuffed",1298,Pre-Owned,0,False,
"VERMONT TEDDY BEAR GARRICK JEWELERS 13"" BROWN PLUSH DOLL TOY PENNSYLVANIA PA",3500,Brand New,0,False,
"The Cape May Teddy Bear Brown Plush Jeanne Marie 15"" Jointed Bear CMTB Free Hugs",999,Brand New,0,True,
Koala Bear by Teddy Hermann - plush cuddly soft toy - 21cm - 91424,2482,Brand New,0,True,
"Kids Preferred Soft Bear Light Brown Beanbag Plush Stuffed Animal Bow 13""",1232,Pre-Owned,0,False,
New ListingHandmade Printed Fabric Stuffed Teddy Bear with Bandana 16” Plush,999,Pre-Owned,0,False,
Trump Kids 9” Teddy Bear Cream Sitting Plush Stuffed Animal Toy,602,Pre-Owned,0,True,
